10, 0.01, 7, 5, 1.25pi, 10.063128471374512, 3.686861868254087 
1, 6.6, 1, 1, 1.25pi, 1.4120767446001992e-05, 0.00011911880349713133 
10, 5.2, 5, 7, 1.25pi, 0.014090166427195072, 0.012780697221894843 
1, 0.02, 1, 1, 1.25pi, 3.865663893520832e-05, 0.011136363447812991 
0, 0.02, 1, 1, 1.25pi, 5.326302562025376e-05, 0.019596053626346865 
0, 1.2, 1, 1, 1.25pi, 3.817288813934283e-07, 0.0009129547929538628 
10, 1.2, 1, 1, 1.25pi, 0.0002606530615594238, 0.015354497000868106 
10, 0.002, 1, 1, 1.25pi, 0.036252763122320175, 4.023590080369065 
1, 6.2, 0.001, 0.0001, 1.25pi, 7.27823717170395e-05, 0.0004126338522465467 
0.02, 6.2, 0.001, 0.001, 1.25pi, 1.9412129859119887e-06, 7.053340297802357e-05 
7, 6.2, 0.001, 0.0001, 1.25pi, 0.00042710243724286556, 0.004628416340524688 
0.002, 1.2, 0.001, 0.0001, 1.25pi, 6.671234586974606e-07, 8.027682005851133e-05 
1, 1.2, 0.001, 0.0001, 1.25pi, 7.518659458582988e-06, 0.0015003842561127634 
1, 1, 0.0001, 0.001, 1.25pi, 2.25080316340609e-06, 0.00018914337212705412 
5, 1.2, 0.0001, 0.001, 1.25pi, 5.778330159955658e-05, 0.0013207753137303158
1, 0.2, 0.0001, 0.001, 1.25pi, 1.9714882000698708e-05, 0.00441130907381615
7, 0.2, 0.0001, 0.001, 1.25pi, 0.00014961507986299694, 0.010594745688816687
0.2, 0.2, 0.0001, 0.001, 1.25pi, 1.3410061683316599e-06, 0.0004688536608312699
0.04, 0.02, 0.0001, 0.001, 1.25pi, 6.180569016578374e-07, 0.001322589841766142
0.001, 0.02, 0.0001, 0.001, 1.25pi, 4.2886469486802525e-07, 0.00025227070602218404
10, 0.01, 7, 5, 1.25pi, 9.432916641235352, 4.0139540803683875
10, 0.01, 7, 5, 1.25pi, 10.418595314025879, 3.521314139715583
10, 5.2, 5, 7, 1.25pi, 0.004312174394726753, 0.002577018482660065
1, 1.2, 0.001, 0.0001, 1.25pi, 0.00018637871835380793, 0.010210604923964306
0.04, 0.02, 0.0001, 0.001, 1.25pi, 8.307900429826987e-07, 0.0002684157965183731
0.04, 0.02, 0.0001, 0.001, 1.25pi, 2.577978648332646e-07, 0.0004876757133184251
